time,latitude,longitude,depth,temperature,salinity,oxy_conc,oxy_temperature,oxy_percentsat,oxy_conc_umkg
2022-07-10 18:00:00,56.866,-164.04983333333334,6.0,10.1119,32.162,293.61850267181705,10.202258,105.01965032886721,286.5358490087084
2022-07-10 19:00:00,56.866,-164.04983333333334,6.0,10.1182,32.1595,293.84502844798726,10.210803,105.11310710393929,286.7577493982422
2022-07-10 20:00:00,56.866,-164.04983333333334,6.0,10.141,32.1606,293.9433228235654,10.233387,105.20093022758384,286.85449547352044
2022-07-10 21:00:00,56.866,-164.04983333333334,6.0,10.1665,32.1568,293.8729920286905,10.257801,105.23085737630305,286.787880073578
2022-07-10 22:00:00,56.866,-164.04983333333334,6.0,10.1742,32.1536,294.3104722551036,10.270619,105.40262517053667,287.2158725054676
2022-07-10 23:00:00,56.866,-164.04983333333334,6.0,10.1962,32.1517,294.3941282452726,10.285878,105.48124866217086,287.2989576722504
2022-07-11 00:00:00,56.866,-164.04983333333334,6.0,10.2129,32.1516,294.52164846931214,10.309682,105.56491111041171,287.42420986191615
2022-07-11 01:00:00,56.866,-164.04983333333334,6.0,10.2988,32.1535,294.11101847448873,10.381704,105.6146295275178,287.0270975960866
2022-07-11 02:00:00,56.866,-164.04983333333334,6.0,10.3163,32.1584,294.1598786218998,10.40734,105.67571313729852,287.0745361660711
2022-07-11 03:00:00,56.866,-164.04983333333334,6.0,10.2667,32.1616,294.2000414004714,10.362783,105.57964444645418,287.1106954195655
2022-07-11 04:00:00,56.866,-164.04983333333334,6.0,10.3014,32.1619,293.78802304830845,10.395132,105.51089300545296,286.71017214914934
2022-07-11 05:00:00,56.866,-164.04983333333334,6.0,10.2978,32.1638,293.40463070964944,10.411002,105.36646019079257,286.3354332616529
2022-07-11 06:00:00,56.866,-164.04983333333334,6.0,10.3061,32.1634,293.4391519894247,10.399405,105.39740295225842,286.3696002978607
2022-07-11 07:00:00,56.866,-164.04983333333334,6.0,10.3064,32.1627,293.04255348389864,10.398184,105.25510607557997,285.9827230394162
2022-07-11 08:00:00,56.866,-164.04983333333334,6.0,10.3054,32.1618,292.8944915931766,10.398184,105.19898136206218,285.83837691488833
2022-07-11 09:00:00,56.866,-164.04983333333334,6.0,10.2987,32.1618,292.78186880272324,10.39086,105.14335084218021,285.72815291397455
2022-07-11 10:00:00,56.866,-164.04983333333334,6.0,10.2948,32.1624,292.54008916698166,10.387808,105.04814568254031,285.49188513974013
2022-07-11 11:00:00,56.866,-164.04983333333334,6.0,10.2912,32.1631,292.3878234777366,10.382925,104.98584927176917,285.3429674480181
2022-07-11 12:00:00,56.866,-164.04983333333334,6.0,10.2811,32.1634,292.2631047087486,10.369497,104.9184510950731,285.22071593487806
2022-07-11 13:00:00,56.866,-164.04983333333334,6.0,10.2718,32.1634,292.199017180423,10.364614,104.87441760141903,285.1577378056015
2022-07-11 14:00:00,56.866,-164.04983333333334,6.0,10.2645,32.1631,291.9871800943707,10.355459,104.78166867434098,284.9507295919327
2022-07-11 15:00:00,56.866,-164.04983333333334,6.0,10.2575,32.1615,291.9669661739587,10.349355,104.75740197325958,284.93102289391356
2022-07-11 16:00:00,56.866,-164.04983333333334,6.0,10.256,32.1619,291.6968506026217,10.348135,104.65739901696085,284.6672601225399
2022-07-11 17:00:00,56.866,-164.04983333333334,6.0,10.2421,32.1627,291.8878375593726,10.335927,104.69513130721175,284.85282297742515
2022-07-11 18:00:00,56.866,-164.04983333333334,6.0,10.2456,32.1635,291.8282896014541,10.337758,104.6822743045719,284.7947000068066
2022-07-11 19:00:00,56.866,-164.04983333333334,6.0,10.2444,32.1635,291.9172806074426,10.337148,104.7114861624861,284.88149022167374
2022-07-11 20:00:00,56.866,-164.04983333333334,6.0,10.2235,32.1624,292.17813570629477,10.317617,104.75698628586893,285.1353222244252
2022-07-11 21:00:00,56.866,-164.04983333333334,6.0,10.2292,32.1606,292.2140210410837,10.321889,104.781388663524,285.1709988118908
